word,definition
babassu,tall feather palm of northern Brazil with hard-shelled nuts yielding valuable oil and a kind of vegetable ivory
babbitt,an alloy of tin with some copper and antimony; a lining for bearings that reduces friction
babbler,an obnoxious and foolish and loquacious talker
babyish,characteristic of a baby
babylon,the chief city of ancient Mesopotamia and capital of the ancient kingdom of Babylonia
baccate,resembling a berry
bacchic,used of riotously drunken merrymaking
bacchus,(classical mythology) god of wine; equivalent of Dionysus
bacilli,aerobic rod-shaped spore-producing bacterium; often occurring in chainlike formations; found primarily in soil
backing,the act of providing approval and support
backlog,an accumulation of jobs not done or materials not processed that are yet to be dealt with (especially unfilled customer orders for products or services)
backsaw,a handsaw that is stiffened by metal reinforcement along the upper edge
badness,that which is below standard or expectations as of ethics or decency
bagasse,the dry dusty pulp that remains after juice is extracted from sugar cane or similar plants
baggage,cases used to carry belongings when traveling
bagging,coarse fabric used for bags or sacks
bagpipe,a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone
bahaism,a religion founded in Iran in 1863; emphasizes the spiritual unity of all humankind; incorporates Christian and Islamic tenets; many adherents live in the United States
bailiff,an officer of the court who is employed to execute writs and processes and make arrests etc.
baisakh,the second month of the Hindu calendar
balaena,type genus of the Balaenidae: Greenland whales
balagan,a word for chaos or fiasco borrowed from modern Hebrew (where it is a loan word from Russian)
balance,a state of equilibrium
balanus,type genus of the family Balanidae
balcony,an upper floor projecting from the rear over the main floor in an auditorium
baldric,a wide (ornamented) belt worn over the right shoulder to support a sword or bugle by the left hip
baldwin,United States author who was an outspoken critic of racism (1924-1987)
baleful,deadly or sinister
ballade,a poem consisting of 3 stanzas and an envoy
ballast,any heavy material used to stabilize a ship or airship
balloon,large tough nonrigid bag filled with gas or heated air
ballota,perennial herbs or subshrubs of especially Mediterranean area: black horehound
balmily,in a mildly insane manner
baloney,pretentious or silly talk or writing
balsamy,of or relating to or containing balsam
baluchi,an Iranian language spoken in Pakistan and Iran and Afghanistan and Russia and the Persian gulf
bambini,a young child
bambino,a young child
bambusa,tall tender clumping bamboos
bandage,a piece of soft material that covers and protects an injured part of the body
bandbox,a light cylindrical box for holding light articles of attire (especially hats)
bandeau,an undergarment worn by women to support their breasts
banding,a stripe or stripes of contrasting color
bandlet,molding in the form of a ring; at top of a column
baneful,exceedingly harmful
banging,a continuing very loud noise
bangkok,the capital and largest city and chief port of Thailand; a leading city in southeastern Asia; noted for Buddhist architecture
banking,engaging in the business of keeping money for savings and checking accounts or for exchange or for issuing loans and credit etc.
banksia,any shrub or tree of the genus Banksia having alternate leathery leaves apetalous yellow flowers often in showy heads and conelike fruit with winged seeds
banning,an official prohibition or edict against something
bannock,a flat bread made of oat or barley flour; common in New England and Scotland
banquet,a ceremonial dinner party for many people
banshee,(Irish folklore) a female spirit who wails to warn of impending death
banteng,wild ox of the Malay Archipelago
bantoid,relating to or designating languages that possess characteristics of Bantu
baptism,a Christian sacrament signifying spiritual cleansing and rebirth
baptist,follower of Baptistic doctrines
baptize,administer baptism to
barbary,a region of northern Africa on the Mediterranean coast between Egypt and Gibraltar; was used as a base for pirates from the 16th to 19th centuries
barbate,having hair on the cheeks and chin
barding,put a caparison on
bargain,an agreement between parties (usually arrived at after discussion) fixing obligations of each
barilla,bushy plant of Old World salt marshes and sea beaches having prickly leaves; burned to produce a crude soda ash
barking,speak in an unfriendly tone
barmaid,a female bartender
barnful,the quantity that a barn will hold
baronet,a member of the British order of honor; ranks below a baron but above a knight
baroque,"the historic period from about 1600 until 1750 when the baroque style of art, architecture, and music flourished in Europe"
barrack,a building or group of buildings used to house military personnel
barrage,the rapid and continuous delivery of linguistic communication (spoken or written)
barrier,a structure or object that impedes free movement
barring,the act of excluding someone by a negative vote or veto
barroom,a room or establishment where alcoholic drinks are served over a counter
barytes,a white or colorless mineral (BaSO4); the main source of barium
barytic,of or relating to or containing baryta
bascule,a structure or device in which one end is counterbalanced by the other (on the principle of the seesaw)
basenji,small smooth-haired breed of African origin having a tightly curled tail and the inability to bark
bashful,self-consciously timid; - Ezra Pound
