word,definition
caber,a heavy wooden pole (such as the trunk of a young fir) that is tossed as a test of strength (in the Highlands of northern Scotland)
cabin,small room on a ship or boat where people sleep
cable,a telegram sent abroad
cabot,son of John Cabot who was born in Italy and who led an English expedition in search of the Northwest Passage and a Spanish expedition that explored the La Plata region of Brazil; in 1544 he published a map of the world (1476-1557)
cacao,tropical American tree producing cacao beans
cache,a hidden storage space (for money or provisions or weapons)
cacti,any succulent plant of the family Cactaceae native chiefly to arid regions of the New World and usually having spines
caddo,a group of Plains Indians formerly living in what is now North and South Dakota and Nebraska and Kansas and Arkansas and Louisiana and Oklahoma and Texas
caddy,a can for storing tea
cadet,a military trainee (as at a military academy)
cadge,ask for and get free; be a parasite
cadre,a small unit serving as part of or as the nucleus of a larger political movement
caeca,the cavity in which the large intestine begins and into which the ileum opens
caged,confine in a cage
cager,an athlete who plays basketball
cagey,showing self-interest and shrewdness in dealing with others
cairn,a mound of stones piled up as a memorial or to mark a boundary or path
cairo,a town at the southern tip of Illinois at the confluence of the Ohio and Mississippi Rivers
cajun,a Louisianian descended from Acadian immigrants from Nova Scotia (`Cajun' comes from `Acadian')
calla,South African plant widely cultivated for its showy pure white spathe and yellow spadix
calli,an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot)
calve,release ice
calyx,(botany) the whorl of sepals of a flower collectively forming the outer floral envelope or layer of the perianth enclosing and supporting the developing bud; usually green
camel,cud-chewing mammal used as a draft or saddle animal in desert regions
cameo,engraving or carving in low relief on a stone (as in a brooch or ring)
camus,French writer who portrayed the human condition as isolated in an absurd world (1913-1960)
canal,(astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion
candy,a rich sweet made of flavored sugar and often combined with fruit or nuts
canid,any of various fissiped mammals with nonretractile claws and typically long muzzles
canis,type genus of the Canidae: domestic and wild dogs; wolves; jackals
canna,any plant of the genus Canna having large sheathing leaves and clusters of large showy flowers
canny,showing self-interest and shrewdness in dealing with others
canoe,small and light boat; pointed at both ends; propelled with a paddle
canon,a rule or especially body of rules or principles generally established as valid and fundamental in a field or art or philosophy
canto,the highest part (usually the melody) in a piece of choral music
canty,lively and brisk
caped,lie at the top of
caper,any of numerous plants of the genus Capparis
capes,a strip of land projecting into a body of water
capon,flesh of a castrated male chicken
capra,United States film maker (1897-1991)
capri,an island (part of Campania) in the Bay of Naples in southern Italy; a tourist attraction noted for beautiful scenery
carat,a unit of weight for precious stones = 200 mg
caret,a mark used by an author or editor to indicate where something is to be inserted into a text
carex,large genus of plants found in damp woodlands and bogs and ditches or at water margins: sedges
cargo,goods carried by a large vehicle
carib,a member of an American Indian peoples of northeastern South America and the Lesser Antilles
carob,long pod containing small beans and sweetish edible pulp; used as animal feed and source of a chocolate substitute
carol,joyful religious song celebrating the birth of Christ
carom,a glancing rebound
carry,the act of carrying something
carte,a list of dishes available at a restaurant
carum,caraway
carve,form by carving
carya,genus of large deciduous nut-bearing trees; United States and China
cased,"look over, usually with the intention to rob"
caste,social status or position conferred by a system based on class
catch,a drawback or difficulty that is not readily evident
cater,"give what is desired or needed, especially support, food or sustenance"
catha,a genus of African evergreen shrubs characterized by thick leaves and white flowers
catty,any of various units of weight used in southeastern Asia (especially a Chinese measure equal to 500 grams)
cauda,any taillike structure
cause,events that provide the generative force that is the origin of something
cavia,type genus of the Caviidae: guinea pigs
cavil,an evasion of the point of an argument by raising irrelevant distinctions or objections
cease,(`cease' is a noun only in the phrase `without cease') end
cebus,type genus of the Cebidae
cedar,any of numerous trees of the family Cupressaceae that resemble cedars
ceiba,tropical American trees with palmately compound leaves and showy bell-shaped flowers
ceibo,small South American spiny tree with dark crimson and scarlet flowers solitary or clustered
cello,a large stringed instrument; seated player holds it upright while playing
cense,perfume especially with a censer
ceras,one of the often brightly colored and branching hornlike structures on the back of the nudibranch (and other related mollusks) that serve as gills
cered,wrap up in a cerecloth
ceric,of or relating to or containing cerium especially with valence 4
cetus,a large constellation on the equator near Pisces and Aquarius
chafe,soreness and warmth caused by friction
chaff,material consisting of seed coverings and small pieces of stem or leaves that have been separated from the seeds
chaga,a Bantu language spoken by the Chaga in northern Tanzania
chain,a series of things depending on each other as if linked together
