word,definition
behind,the fleshy part of the human body that you sit on
behold,see with attention
beldam,an ugly evil-looking old woman
belfry,a bell tower; usually stands alone unattached to a building
belief,any cognitive content held as true
belled,attach a bell to
bellis,daisy
bellow,a very loud utterance (like the sound of an animal)
belong,be owned by; be in the possession of
belted,sing loudly and forcefully
beluga,valuable source of caviar and isinglass; found in Black and Caspian seas
bemire,"make soiled, filthy, or dirty"
bemoan,regret strongly
bemock,treat with contempt
bemuse,cause to be confused emotionally
bended,form a curve
bender,a tool for bending
bengal,a region whose eastern part is now Bangladesh and whose western part is included in India
benign,not dangerous to health; not recurrent or progressive (especially of a tumor)
bennet,avens of Virginia having pale or greenish yellow flowers
benton,United States artist whose paintings portrayed life in the Midwest and South (1889-1975)
benumb,make numb or insensitive
benzol,a colorless liquid hydrocarbon; highly inflammable; carcinogenic; the simplest of the aromatic compounds
benzyl,the univalent radical derived from toluene
berate,censure severely or angrily
berber,a member of an indigenous people of northern Africa
bereft,unhappy in love; suffering from unrequited love
berith,the Jewish rite of circumcision performed on a male child on the eighth day of his life
berlin,capital of Germany located in eastern Germany
beseem,accord or comport with
bespot,"mark with, or as if with, spots"
bester,(superlative of `good') having the most positive qualities
bestir,become active
bestow,present
bethel,a house of worship (especially one for sailors)
betide,become of; happen to
betray,reveal unintentionally
betted,maintain with or as if with a bet
better,something superior in quality or condition or effect
bettor,someone who bets
betula,a genus of trees of the family Betulaceae (such as birches)
bewail,regret strongly
beware,be on one's guard; be cautious or wary about; be alert to
bewray,reveal unintentionally
beyond,farther along in space or time or degree
bezant,a gold coin of the Byzantine Empire; widely circulated in Europe in the Middle Ages
bhadon,the sixth month of the Hindu calendar
bhakti,(Hinduism) loving devotion to a deity leading to salvation and nirvana; open to all persons independent of caste or sex
biaxal,having two axes
biceps,any skeletal muscle having two origins (but especially the muscle that flexes the forearm)
bicker,a quarrel about petty points
bicorn,a cocked hat with the brim turned up to form two points
bidder,someone who makes an offer
bidens,bur marigolds
biding,dwell
biform,having or combining two forms
bigamy,having two spouses at the same time
bigeye,red fishes of American coastal tropical waters having very large eyes and rough scales
bigger,large or big relative to something else
biggin,a child's tight-fitting cap; often ties under the chin
bigwig,the most important person in a group or undertaking
bihari,the Indic language spoken in Bihar (and by some people in Pakistan and Bangladesh)
bijoux,a small and delicately worked piece
bikini,an atoll in the Marshall Islands; formerly used by the United States as a site for testing nuclear weapons
billed,demand payment
billet,a short personal letter
billow,a large sea wave
biloxi,a member of the Siouan people of southeastern Mississippi
binary,a system of two stars that revolve around each other under their mutual gravitation
binate,growing in two parts or in pairs
binder,a machine that cuts grain and binds it in sheaves
bingle,a base hit on which the batter stops safely at first base
biopsy,examination of tissues or liquids from the living body to determine the existence or cause of a disease
biotic,of or relating to living organisms
biotin,a B vitamin that aids in body growth
birder,a person who identifies and studies birds in their natural habitats
birdie,(golf) a score of one stroke under par on a hole
birken,consisting of or made of wood of the birch tree
bisect,cut in half or cut in two
bishop,a senior member of the Christian clergy having spiritual and administrative authority; appointed in Christian churches to oversee priests or ministers; considered in some churches to be successors of the twelve Apostles of Christ
bisque,a thick cream soup made from shellfish
bister,a water-soluble brownish-yellow pigment made by boiling wood soot
bistro,a small informal restaurant; serves wine
biting,"to grip, cut off, or tear with or as if with the teeth or jaws"
bitten,"to grip, cut off, or tear with or as if with the teeth or jaws"
bitter,English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
bittie,(used informally) very small
bladed,bearing or characterized by a blade or sword; often used in combination
blamed,put or pin the blame on
blamer,expletives used informally as intensifiers
blanch,"turn pale, as if in fear"
blatta,type genus of the Blattidae: cockroaches infesting buildings worldwide
blazer,lightweight single-breasted jacket; often striped in the colors of a club or school
blazon,"the official symbols of a family, state, etc."
bleach,the whiteness that results from removing the color from something
bleary,tired to the point of exhaustion
blebby,covered with small blisters
blench,"turn pale, as if in fear"
blende,an ore that is the chief source of zinc; consists largely of zinc sulfide in crystalline form
blenny,small usually scaleless fishes with comb-like teeth living about rocky shores; are territorial and live in holes between rocks
bletia,any of various orchids of the genus Bletia having pseudobulbs and erect leafless racemes of large purple or pink flowers
blight,a state or condition being blighted
blinks,small Indian lettuce of northern regions
blithe,lacking or showing a lack of due concern
blocky,resembling a block in shape
blolly,evergreen climbing shrub of southern Florida and West Indies grown for its racemes of fragrant white to creamy flowers followed by globose white succulent berries
blonde,a person with fair skin and hair
